Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
50,2756014204681,104,228,18,4,
50,37883674166,137,224,10,1,
50,4820720628519,118,255,26,8,
50,5853073840439,121,259,16,4,
50,6885427052358,151,251,26,7,
50,7917780264277,127,241,18,14,
50,8950133476197,125,273,13,6,
50,9982486688116,124,245,22,4,
51,1014839900035,138,240,18,4,
51,2047193111954,106,262,25,5,
51,3079546323874,111,241,24,7,
51,4111899535793,116,254,22,7,
51,5144252747712,109,221,15,5,
